city;region;fed_district;reg_num
Барнаул;Алтайский край;Сибирский;22
Бийск;Алтайский край;Сибирский;22
Горняк;Алтайский край;Сибирский;22
Заринск;Алтайский край;Сибирский;22
Змеиногорск;Алтайский край;Сибирский;22
Камень-на-Оби;Алтайский край;Сибирский;22
Новоалтайск;Алтайский край;Сибирский;22
Славгород;Алтайский край;Сибирский;22
Яровое;Алтайский край;Сибирский;22
Рубцовск;Алтайский край;Сибирский;22
Белогорск;Амурская область;Дальневосточный;28
Благовещенск;Амурская область;Дальневосточный;28
Завитинск;Амурская область;Дальневосточный;28
Зея;Амурская область;Дальневосточный;28
Райчихинск;Амурская область;Дальневосточный;28
Свободный;Амурская область;Дальневосточный;28
Сковородино;Амурская область;Дальневосточный;28
Тында;Амурская область;Дальневосточный;28
Циолковский;Амурская область;Дальневосточный;28
Шимановск;Амурская область;Дальневосточный;28
Архангельск;Архангельская область;Северо-Западный;29
Вельск;Архангельская область;Северо-Западный;29
Каргополь;Архангельская область;Северо-Западный;29
Коряжма;Архангельская область;Северо-Западный;29
Котлас;Архангельская область;Северо-Западный;29
Мезень;Архангельская область;Северо-Западный;29
Мирный;Архангельская область;Северо-Западный;29
Новодвинск;Архангельская область;Северо-Западный;29
Няндома;Архангельская область;Северо-Западный;29
Онега;Архангельская область;Северо-Западный;29
Северодвинск;Архангельская область;Северо-Западный;29
Сольвычегодск;Архангельская область;Северо-Западный;29
Шенкурск;Архангельская область;Северо-Западный;29
Астрахань;Астраханская область;Южный;30
Ахтубинск;Астраханская область;Южный;30
Знаменск;Астраханская область;Южный;30
Камызяк;Астраханская область;Южный;30
Нариманов;Астраханская область;Южный;30
Харабали;Астраханская область;Южный;30
Алексеевка;Белгородская область;Центральный;31
Белгород;Белгородская область;Центральный;31
Бирюч;Белгородская область;Центральный;31
Валуйки;Белгородская область;Центральный;31
Грайворон;Белгородская область;Центральный;31
Губкин;Белгородская область;Центральный;31
Короча;Белгородская область;Центральный;31
Новый Оскол;Белгородская область;Центральный;31
Старый Оскол;Белгородская область;Центральный;31
Строитель;Белгородская область;Центральный;31
Шебекино;Белгородская область;Центральный;31
Брянск;Брянская область;Центральный;32
Дятьково;Брянская область;Центральный;32
Жуковка;Брянская область;Центральный;32
Злынка;Брянская область;Центральный;32
Карачев;Брянская область;Центральный;32
Клинцы;Брянская область;Центральный;32
Мглин;Брянская область;Центральный;32
Новозыбков;Брянская область;Центральный;32
Почеп;Брянская область;Центральный;32
Севск;Брянская область;Центральный;32
Сельцо;Брянская область;Центральный;32
Стародуб;Брянская область;Центральный;32
Сураж;Брянская область;Центральный;32
